port
Gi1/0/5 
Gi1/0/6 
Gi1/0/7 
Gi1/0/10
Gi1/0/11
Gi3/0/2 
Gi3/0/3 
Gi3/0/4 
Gi3/0/5 
Gi3/0/6 
Gi3/0/7 
Gi3/0/8 
Gi4/0/7 
Gi4/0/8 
Gi4/0/9 
Gi4/0/10
Gi4/0/11
Gi4/0/12
Gi4/0/13
Gi4/0/14
Gi4/0/15
Gi4/0/16
Gi4/0/17
Gi4/0/18
Gi4/0/19
Gi4/0/20
Gi4/0/21
Gi5/0/6 
Gi5/0/7 
Gi5/0/8 
Gi5/0/9 
Gi5/0/10
Gi5/0/12
Gi5/0/14
Gi5/0/15
Gi5/0/16
Gi5/0/17
Gi5/0/18
Gi5/0/19
Gi5/0/20
Gi5/0/21
Gi5/0/22
Gi5/0/23
